period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2019-02-01,2019-09-10,10-Q,2020,Q2,36138000000.0,44972000000.0,36138000000.0,44972000000.0,49201000000.0,,,,-942000000.0,10240000000.0,,,848171289,69572500000.0,94173000000.0,1.2444518235652222,0.8035666637018589,,,,0.28335823786595826
2019-02-01,2019-12-09,10-Q,2020,Q3,36138000000.0,44972000000.0,36138000000.0,44972000000.0,49201000000.0,,,,-942000000.0,10240000000.0,,,848171289,69572500000.0,94173000000.0,1.2444518235652222,0.8035666637018589,,,,0.28335823786595826
2019-02-01,2020-03-27,10-K,2020,FY,36138000000.0,44972000000.0,36138000000.0,44972000000.0,49201000000.0,23841000000.0,-191000000.0,-2181000000.0,-942000000.0,10240000000.0,2488000000.0,,848171289,69572500000.0,94173000000.0,1.2444518235652222,0.8035666637018589,-0.09148106203598842,-0.06035198406109912,-0.0767684887459807,0.28335823786595826
2019-02-01,2020-06-08,10-Q,2021,Q1,,,,,,,,,-942000000.0,10240000000.0,,,848171289,,,,,,,,
2019-02-01,2020-09-04,10-Q,2021,Q2,,,,,,,,,-942000000.0,10240000000.0,,,848171289,,,,,,,,
2019-02-01,2020-12-07,10-Q,2021,Q3,,,,,,,,,-942000000.0,10240000000.0,,,848171289,,,,,,,,
2019-02-01,2021-03-26,10-K,2021,FY,,,,,,90621000000.0,-191000000.0,-2181000000.0,-942000000.0,10240000000.0,2488000000.0,,848171289,,,,,-0.024067269176018802,,-0.0767684887459807,
2019-02-01,2022-03-24,10-K,2022,FY,,,,,,,,,-942000000.0,,,,848171289,,,,,,,,
2019-05-03,2019-06-10,10-Q,2020,Q1,33655000000.0,43479000000.0,33655000000.0,43479000000.0,48640000000.0,21908000000.0,550000000.0,329000000.0,-1661000000.0,9709000000.0,,,848171289,67799000000.0,92119000000.0,1.2919031347496657,0.774051841118701,0.015017345262004747,0.009775664834348536,,0.2884861090476898
2019-05-03,2019-09-10,10-Q,2020,Q2,,,,,,,,,-1661000000.0,,,,848171289,,,,,,,,
2019-05-03,2020-03-27,10-K,2020,FY,,,,,,21908000000.0,,293000000.0,,,,,848171289,,,,,0.013374109914186598,,,
2019-05-03,2020-06-08,10-Q,2021,Q1,,,,,,21908000000.0,550000000.0,329000000.0,-1661000000.0,9709000000.0,,,848171289,,,,,0.015017345262004747,,,
2019-05-03,2020-09-04,10-Q,2021,Q2,,,,,,,,,-1661000000.0,,,,848171289,,,,,,,,
2019-08-02,2019-09-10,10-Q,2020,Q2,35316000000.0,47020000000.0,35316000000.0,47020000000.0,45973000000.0,23370000000.0,519000000.0,4232000000.0,3095000000.0,9935000000.0,,,848171289,70006500000.0,92993000000.0,1.3314078604598483,0.7510846448319863,0.18108686350021394,0.1198323705968966,,0.2813172499716842
2019-08-02,2019-12-09,10-Q,2020,Q3,,,,,,,,,3095000000.0,,,,848171289,,,,,,,,
2019-08-02,2020-03-27,10-K,2020,FY,,,,,,23370000000.0,,3416000000.0,,,,,848171289,,,,,0.14617030380830123,,,
2019-08-02,2020-09-04,10-Q,2021,Q2,,,,,,23370000000.0,519000000.0,4232000000.0,3095000000.0,9935000000.0,,,848171289,,,,,0.18108686350021394,,,
2019-08-02,2020-12-07,10-Q,2021,Q3,,,,,,,,,3095000000.0,,,,848171289,,,,,,,,
2019-11-01,2019-12-09,10-Q,2020,Q3,34772000000.0,49055000000.0,34772000000.0,49055000000.0,44727000000.0,22844000000.0,836000000.0,552000000.0,3877000000.0,9341000000.0,,,848171289,71418500000.0,93782000000.0,1.4107615322673415,0.7088370196717969,0.024163894239187533,0.01587484182675716,,0.2686356838835845
2019-11-01,2020-03-27,10-K,2020,FY,,,,,,22844000000.0,,499000000.0,,,,,848171289,,,,,0.021843810190859743,,,
2019-11-01,2020-12-07,10-Q,2021,Q3,,,,,,22844000000.0,836000000.0,552000000.0,3877000000.0,9341000000.0,654000000.0,,848171289,,,,,0.024163894239187533,,1.2782874617737003,
2020-01-31,2020-03-27,10-K,2020,FY,36868000000.0,52456000000.0,36868000000.0,52456000000.0,44319000000.0,24032000000.0,2622000000.0,5529000000.0,3155000000.0,10151000000.0,2675000000.0,,848171289,74615500000.0,96775000000.0,1.422805685147011,0.7028366631081288,0.23006824234354195,0.14996745144841053,0.9801869158878505,0.2753336226537919
2020-01-31,2020-06-08,10-Q,2021,Q1,36868000000.0,52456000000.0,36868000000.0,52456000000.0,44319000000.0,,,,3155000000.0,10151000000.0,,,848171289,74615500000.0,96775000000.0,1.422805685147011,0.7028366631081288,,,,0.2753336226537919
2020-01-31,2020-09-04,10-Q,2021,Q2,36868000000.0,52456000000.0,36868000000.0,52456000000.0,44319000000.0,,,,3155000000.0,10151000000.0,,,848171289,74615500000.0,96775000000.0,1.422805685147011,0.7028366631081288,,,,0.2753336226537919
2020-01-31,2020-12-07,10-Q,2021,Q3,36868000000.0,52456000000.0,36868000000.0,52456000000.0,44319000000.0,,,,3155000000.0,10151000000.0,,,848171289,74615500000.0,96775000000.0,1.422805685147011,0.7028366631081288,,,,0.2753336226537919
2020-01-31,2021-03-26,10-K,2021,FY,36868000000.0,52456000000.0,36868000000.0,52456000000.0,44319000000.0,92154000000.0,2622000000.0,5529000000.0,3155000000.0,10151000000.0,2675000000.0,,848171289,74615500000.0,96775000000.0,1.422805685147011,0.7028366631081288,0.05999739566378019,0.14996745144841053,0.9801869158878505,0.2753336226537919
2020-01-31,2021-06-07,10-Q,2022,Q1,,,,,,,,,3155000000.0,10151000000.0,,,848171289,,,,,,,,
2020-01-31,2021-09-03,10-Q,2022,Q2,,,,,,,,,3155000000.0,10151000000.0,,,848171289,,,,,,,,
2020-01-31,2021-12-03,10-Q,2022,Q3,,,,,,,,,3155000000.0,10151000000.0,,,848171289,,,,,,,,
2020-01-31,2022-03-24,10-K,2022,FY,,,,,,84815000000.0,2366000000.0,5529000000.0,3155000000.0,7120000000.0,2334000000.0,,848171289,,,,,0.06518894063550079,,1.0137103684661526,
2020-01-31,2023-03-30,10-K,2023,FY,,,,,,,,,3155000000.0,,,,848171289,,,,,,,,
2020-05-01,2020-06-08,10-Q,2021,Q1,40931000000.0,50011000000.0,40931000000.0,50011000000.0,48353000000.0,21897000000.0,702000000.0,182000000.0,3240000000.0,12998000000.0,,,848171289,74187500000.0,98364000000.0,1.2218367496518532,0.8184399432124932,0.008311640864045303,0.0044465075370745885,,0.31755881849942585
2020-05-01,2020-09-04,10-Q,2021,Q2,,,,,,,,,3240000000.0,,,,848171289,,,,,,,,
2020-05-01,2021-06-07,10-Q,2022,Q1,,,,,,21897000000.0,702000000.0,182000000.0,3240000000.0,12998000000.0,672000000.0,,848171289,,,,,0.008311640864045303,,1.0446428571428572,
2020-05-01,2021-09-03,10-Q,2022,Q2,,,,,,,,,3240000000.0,,,,848171289,,,,,,,,
2020-05-01,2022-03-24,10-K,2022,FY,,,,,,20078000000.0,,143000000.0,,,,,848171289,,,,,0.007122223329016834,,,
2020-07-31,2020-09-04,10-Q,2021,Q2,41090000000.0,54288000000.0,41090000000.0,54288000000.0,43608000000.0,22733000000.0,1136000000.0,1099000000.0,4558000000.0,12053000000.0,,,848171289,76092000000.0,97896000000.0,1.321197371623266,0.7568891836133216,0.04834381735802578,0.026746166950596253,,0.29333171087855925
2020-07-31,2020-12-07,10-Q,2021,Q3,,,,,,,,,4558000000.0,,,,848171289,,,,,,,,
2020-07-31,2021-09-03,10-Q,2022,Q2,,,,,,22733000000.0,1136000000.0,1099000000.0,4558000000.0,12053000000.0,617000000.0,,848171289,,,,,0.04834381735802578,,1.8411669367909238,
2020-07-31,2021-12-03,10-Q,2022,Q3,,,,,,,,,4558000000.0,,,,848171289,,,,,,,,
