period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2014-11-30,2014-12-19,10-Q,2015,Q2,52040000000.0,11985000000.0,52040000000.0,11985000000.0,,9598000000.0,3542000000.0,2502000000.0,47962000000.0,16153000000.0,4391367000.0,282000000.0,,11985000000.0,11985000000.0,0.23030361260568794,4.34209428452232,0.2606793081892061,0.048078401229823216,12.560283687943262,0.3103958493466564
2014-11-30,2015-12-18,10-Q,2016,Q2,,,,,,9598000000.0,3542000000.0,2502000000.0,,16153000000.0,4201220000.0,282000000.0,,,,,,0.2606793081892061,,12.560283687943262,
2014-12-12,2014-12-19,10-Q,2015,Q2,,,,,,,,,,,4391367000.0,,,,,,,,,,
2015-02-28,2015-03-19,10-Q,2015,Q3,51294000000.0,13792000000.0,51294000000.0,13792000000.0,,9327000000.0,3383000000.0,2495000000.0,48532000000.0,13701000000.0,4367070000.0,273000000.0,,13792000000.0,13792000000.0,0.26888135064529967,3.71911252900232,0.2675029484292913,0.0486411666081803,12.391941391941392,0.26710726400748624
2015-02-28,2016-03-18,10-Q,2016,Q3,,,,,,9327000000.0,3383000000.0,2495000000.0,,13701000000.0,4149865000.0,273000000.0,,,,,,0.2675029484292913,,12.391941391941392,
2015-03-12,2015-03-19,10-Q,2015,Q3,,,,,,,,,,,4367070000.0,,,,,,,,,,
2015-05-31,2015-06-25,10-K,2015,FY,63183000000.0,15291000000.0,63183000000.0,15291000000.0,,38226000000.0,13871000000.0,10051000000.0,49098000000.0,21716000000.0,4336077000.0,1143000000.0,,15291000000.0,15291000000.0,0.24201130050804806,4.1320384539925445,0.2629362214199759,0.15907759998733836,12.135608048993875,0.34370004589842207
2015-05-31,2015-09-18,10-Q,2016,Q1,63183000000.0,15291000000.0,63183000000.0,15291000000.0,,,,,49098000000.0,21716000000.0,4268744000.0,,,15291000000.0,15291000000.0,0.24201130050804806,4.1320384539925445,,,,0.34370004589842207
2015-05-31,2015-12-18,10-Q,2016,Q2,62520000000.0,15206000000.0,62520000000.0,15206000000.0,,,,,49098000000.0,21716000000.0,4201220000.0,,,15206000000.0,15206000000.0,0.24321817018554062,4.1115349204261475,,,,0.34734484964811263
2015-05-31,2016-03-18,10-Q,2016,Q3,62520000000.0,15206000000.0,62520000000.0,15206000000.0,,,,,49098000000.0,21716000000.0,4149865000.0,,,15206000000.0,15206000000.0,0.24321817018554062,4.1115349204261475,,,,0.34734484964811263
2015-05-31,2016-06-22,10-K,2016,FY,62520000000.0,15206000000.0,62520000000.0,15206000000.0,,38226000000.0,13871000000.0,10051000000.0,49098000000.0,21716000000.0,4122730000.0,1143000000.0,,15206000000.0,15206000000.0,0.24321817018554062,4.1115349204261475,0.2629362214199759,0.16076455534229048,12.135608048993875,0.34734484964811263
2015-05-31,2016-09-19,10-Q,2017,Q1,,,,,,,,,,21716000000.0,4105567000.0,,,,,,,,,,
2015-05-31,2016-12-19,10-Q,2017,Q2,,,,,,,,,,21716000000.0,4102353000.0,,,,,,,,,,
2015-05-31,2017-03-17,10-Q,2017,Q3,,,,,,,,,,21716000000.0,4114684000.0,,,,,,,,,,
2015-05-31,2017-06-27,10-K,2017,FY,,,,,,38226000000.0,13871000000.0,10051000000.0,49098000000.0,21716000000.0,4136682000.0,1143000000.0,,,,,,0.2629362214199759,,12.135608048993875,
2015-05-31,2018-06-22,10-K,2018,FY,,,,,,,,,49098000000.0,21716000000.0,3981155000.0,,,,,,,,,,
2015-06-18,2015-06-25,10-K,2015,FY,,,,,,,,,,,4336077000.0,,,,,,,,,,
2015-08-31,2015-09-18,10-Q,2016,Q1,62122000000.0,15391000000.0,62122000000.0,15391000000.0,,8448000000.0,2654000000.0,1747000000.0,47538000000.0,16739000000.0,4268744000.0,374000000.0,,15391000000.0,15391000000.0,0.24775441872444545,4.03625495419401,0.20679450757575757,0.02812208235407746,7.096256684491979,0.26945365570973245
