period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2010-12-31,2013-01-30,10-K,2012,FY,,,,,,,34204000000.0,1406000000.0,1152000000.0,6864000000.0,3777000000.0,454551069.0,39000000.0,,,,,0.03368027131329669,,36.05128205128205,
2010-12-31,2014-01-31,10-K,2013,FY,,,,,,,,,,6864000000.0,3777000000.0,459264535.0,,,,,,,,,
2011-01-19,2011-01-28,10-K,2010,FY,,,,,,,,,,,,451003759.0,,,,,,,,,
2011-03-31,2011-04-27,10-Q,2011,Q1,11288000000.0,7730000000.0,11288000000.0,7730000000.0,,,9857000000.0,322000000.0,201000000.0,7347000000.0,2641000000.0,452043073.0,12000000.0,7730000000.0,7730000000.0,0.6847980155917789,1.4602846054333765,0.020391599878259104,0.017806520198440822,26.833333333333332,0.2339652728561304
2011-03-31,2011-07-27,10-Q,2011,Q2,,,,,,,,,,,2641000000.0,453935325.0,,,,,,,,,
2011-03-31,2012-02-01,10-K,2011,FY,,,,,,,9857000000.0,,201000000.0,,,455068465.0,,,,,,0.020391599878259104,,,
2011-03-31,2012-04-27,10-Q,2012,Q1,,,,,,,9857000000.0,322000000.0,201000000.0,,2641000000.0,450525501.0,12000000.0,,,,,0.020391599878259104,,26.833333333333332,
2011-03-31,2012-07-27,10-Q,2012,Q2,,,,,,,,,,,2641000000.0,452065256.0,,,,,,,,,
2011-03-31,2013-01-30,10-K,2012,FY,,,,,,,13185000000.0,,130000000.0,,,454551069.0,,,,,,0.009859689040576413,,,
2011-03-31,2013-04-26,10-Q,2013,Q1,,,,,,,,,,,2641000000.0,455242694.0,,,,,,,,,
2011-04-19,2011-04-27,10-Q,2011,Q1,,,,,,,,,,,,452043073.0,,,,,,,,,
2011-06-30,2011-07-27,10-Q,2011,Q2,11279000000.0,8045000000.0,11279000000.0,8045000000.0,,,9913000000.0,201000000.0,191000000.0,7765000000.0,2047000000.0,453935325.0,15000000.0,8045000000.0,8045000000.0,0.7132724532316694,1.401988812927284,0.019267628366791082,0.01693412536572391,13.4,0.1814877205426013
2011-06-30,2011-10-26,10-Q,2011,Q3,,,,,,,,,,,2047000000.0,454754345.0,,,,,,,,,
2011-06-30,2012-02-01,10-K,2011,FY,,,,,,,9913000000.0,,191000000.0,,,455068465.0,,,,,,0.019267628366791082,,,
2011-06-30,2012-07-27,10-Q,2012,Q2,,,,,,,9913000000.0,201000000.0,191000000.0,,2047000000.0,452065256.0,15000000.0,,,,,0.019267628366791082,,13.4,
2011-06-30,2012-10-26,10-Q,2012,Q3,,,,,,,,,,,2047000000.0,452958533.0,,,,,,,,,
2011-06-30,2013-01-30,10-K,2012,FY,,,,,,,12834000000.0,,7000000.0,,,454551069.0,,,,,,0.0005454262116253701,,,
2011-06-30,2013-07-26,10-Q,2013,Q2,,,,,,,,,,,2047000000.0,456883519.0,,,,,,,,,
2011-07-15,2011-07-27,10-Q,2011,Q2,,,,,,,,,,,,453935325.0,,,,,,,,,
2011-09-30,2011-10-26,10-Q,2011,Q3,11904000000.0,8978000000.0,11904000000.0,8978000000.0,,,10876000000.0,79000000.0,63000000.0,7766000000.0,2823000000.0,454754345.0,17000000.0,8978000000.0,8978000000.0,0.7542002688172043,1.3259077745600356,0.005792570798087532,0.005292338709677419,4.647058823529412,0.23714717741935484
