period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2012-09-28,2013-10-24,10-Q,2013,Q3,,,,,,,,2793000000.0,2329000000.0,,9615000000.0,4415922733.0,102000000.0,,,,,,,27.38235294117647,
2012-10-22,2012-10-25,10-Q,2012,Q3,,,,,,,,,,,,4485161506.0,,,,,,,,,
2012-12-31,2013-02-27,10-K,2012,FY,30328000000.0,27821000000.0,30328000000.0,27821000000.0,14736000000.0,1577000000.0,,10779000000.0,9086000000.0,33168000000.0,8442000000.0,4456717996.0,397000000.0,8945000000.0,16313000000.0,0.9173371142178844,1.0901117860608893,,0.2995911369031918,27.151133501259444,0.278356634133474
2012-12-31,2013-04-25,10-Q,2013,Q1,30328000000.0,27821000000.0,30328000000.0,27821000000.0,14736000000.0,1577000000.0,,,,33168000000.0,8442000000.0,4453755295.0,,8945000000.0,16313000000.0,0.9173371142178844,1.0901117860608893,,,,0.278356634133474
2012-12-31,2013-07-25,10-Q,2013,Q2,30328000000.0,27821000000.0,30328000000.0,27821000000.0,14736000000.0,1577000000.0,,,,33168000000.0,8442000000.0,4433153574.0,,8945000000.0,16313000000.0,0.9173371142178844,1.0901117860608893,,,,0.278356634133474
2012-12-31,2013-10-24,10-Q,2013,Q3,30328000000.0,27821000000.0,30328000000.0,27821000000.0,14736000000.0,1577000000.0,,,,33168000000.0,8442000000.0,4415922733.0,,8945000000.0,16313000000.0,0.9173371142178844,1.0901117860608893,,,,0.278356634133474
2012-12-31,2014-02-27,10-K,2013,FY,30328000000.0,27821000000.0,30328000000.0,27821000000.0,14736000000.0,1577000000.0,,10779000000.0,9086000000.0,33168000000.0,8442000000.0,4405893150.0,397000000.0,8945000000.0,16313000000.0,0.9173371142178844,1.0901117860608893,,0.2995911369031918,27.151133501259444,0.278356634133474
2012-12-31,2014-04-24,10-Q,2014,Q1,,,,,,,,,,,8442000000.0,4395182857.0,,,,,,,,,
2012-12-31,2014-07-30,10-Q,2014,Q2,,,,,,,,,,,8442000000.0,4385923844.0,,,,,,,,,
2012-12-31,2014-10-29,10-Q,2014,Q3,,,,,,,,,,,8442000000.0,4380112851.0,,,,,,,,,
2012-12-31,2015-02-25,10-K,2014,FY,,,,,,,,10779000000.0,9086000000.0,,8442000000.0,4366243616.0,397000000.0,,,,,,,27.151133501259444,
2012-12-31,2016-02-25,10-K,2015,FY,,,,,,,,,,,8442000000.0,4329497778.0,,,,,,,,,
2013-02-25,2013-02-27,10-K,2012,FY,,,,,,,,,,,,4456717996.0,,,,,,,,,
2013-03-29,2013-04-25,10-Q,2013,Q1,31519000000.0,31102000000.0,31519000000.0,31102000000.0,14291000000.0,4505000000.0,,2408000000.0,1769000000.0,32894000000.0,9162000000.0,4453755295.0,102000000.0,11650500000.0,18796000000.0,0.9867698848313715,1.0134074979101022,,0.056124877058282306,23.607843137254903,0.29068181097116025
2013-03-29,2014-04-24,10-Q,2014,Q1,,,,,,,,2408000000.0,1769000000.0,,9162000000.0,4395182857.0,102000000.0,,,,,,,23.607843137254903,
2013-04-22,2013-04-25,10-Q,2013,Q1,,,,,,,,,,,,4453755295.0,,,,,,,,,
