period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,revenue,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2019-06-29,2019-08-13,10-Q,2019,Q2,9168000000.0,7797000000.0,9168000000.0,7797000000.0,,1000000.0,734000000.0,448000000.0,51675000000.0,1458000000.0,1219991425.0,316000000.0,,1000000.0,1000000.0,0.8504581151832461,1.1758368603308964,,0.04886561954624782,2.3227848101265822,0.15903141361256545
2019-06-29,2019-10-31,10-Q,2019,Q3,,,,,,,,,51675000000.0,,1221160646.0,,,,,,,,,,
2019-06-29,2020-02-14,10-K,2019,FY,,,,,,,,448000000.0,,,1221399549.0,,,,,,,,,,
2019-06-29,2020-07-31,10-Q,2020,Q2,,,,,,,734000000.0,448000000.0,51675000000.0,1458000000.0,1222578592.0,316000000.0,,,,,,,,2.3227848101265822,
2019-06-29,2020-10-30,10-Q,2020,Q3,,,,,,,,,51675000000.0,,1222623168.0,,,,,,,,,,
2019-06-29,2021-02-17,10-K,2020,FY,,,,,,,,448000000.0,,,1223175747.0,,,,,,,,,,
2019-08-03,2019-08-13,10-Q,2019,Q1,,,,,,,,,,,1219991425.0,,,,,,,,,,
2019-08-03,2019-08-13,10-Q,2019,Q2,,,,,,,,,,,1219991425.0,,,,,,,,,,
2019-09-28,2019-10-31,10-Q,2019,Q3,9125000000.0,9112000000.0,9125000000.0,9112000000.0,,15000000.0,1180000000.0,898000000.0,51804000000.0,2316000000.0,1221160646.0,398000000.0,,15000000.0,15000000.0,0.9985753424657534,1.0014266900790167,,0.09841095890410959,2.9648241206030153,0.2538082191780822
2019-09-28,2020-02-14,10-K,2019,FY,,,,,,,,898000000.0,,,1221399549.0,,,,,,,,,,
2019-09-28,2020-10-30,10-Q,2020,Q3,,,,,,,1180000000.0,898000000.0,51804000000.0,2316000000.0,1222623168.0,398000000.0,,,,,,,,2.9648241206030153,
2019-09-28,2021-02-17,10-K,2020,FY,,,,,,,,898000000.0,,,1223175747.0,,,,,,,,,,
2019-10-26,2019-10-31,10-Q,2019,Q3,,,,,,,,,,,1221160646.0,,,,,,,,,,
2019-12-28,2020-02-14,10-K,2019,FY,8097000000.0,7875000000.0,8097000000.0,7875000000.0,,6000000.0,3070000000.0,183000000.0,51749000000.0,2280000000.0,1221399549.0,1361000000.0,,6000000.0,6000000.0,0.9725824379399778,1.028190476190476,,0.022600963319748056,2.2556943423952975,0.28158577250833644
2019-12-28,2020-05-01,10-Q,2020,Q1,8097000000.0,7875000000.0,8097000000.0,7875000000.0,,6000000.0,,,51749000000.0,2280000000.0,1221833078.0,,,6000000.0,6000000.0,0.9725824379399778,1.028190476190476,,,,0.28158577250833644
2019-12-28,2020-07-31,10-Q,2020,Q2,8097000000.0,7875000000.0,8097000000.0,7875000000.0,,6000000.0,,,51749000000.0,2280000000.0,1222578592.0,,,6000000.0,6000000.0,0.9725824379399778,1.028190476190476,,,,0.28158577250833644
2019-12-28,2020-10-30,10-Q,2020,Q3,8097000000.0,7875000000.0,8097000000.0,7875000000.0,,6000000.0,,,51749000000.0,2280000000.0,1222623168.0,,,6000000.0,6000000.0,0.9725824379399778,1.028190476190476,,,,0.28158577250833644
2019-12-28,2021-02-17,10-K,2020,FY,8097000000.0,7875000000.0,8097000000.0,7875000000.0,,6000000.0,3070000000.0,183000000.0,51749000000.0,2280000000.0,1223175747.0,1361000000.0,,6000000.0,6000000.0,0.9725824379399778,1.028190476190476,,0.022600963319748056,2.2556943423952975,0.28158577250833644
2019-12-28,2021-04-30,10-Q,2021,Q1,,,,,,,,,51749000000.0,2280000000.0,1223147340.0,,,,,,,,,,
2019-12-28,2021-08-04,10-Q,2021,Q2,,,,,,,,,51749000000.0,2280000000.0,1223387136.0,,,,,,,,,,
2019-12-28,2021-10-28,10-Q,2021,Q3,,,,,,,,,51749000000.0,2280000000.0,1225261485.0,,,,,,,,,,
